id,countryId,mainSiteId,type,typeEn,name,nameEn,municipality,municipalityEn,region,regionEn,postCode,addressNomenclature,x,y,servingDays,servingOfficeId,servingHubOfficeId
642279418,642,642279132,or.,or.,MAGURELE,MAGURELE,OR. MAGURELE,OR. MAGURELE,ILFOV,ILFOV,077125,1,26.029239,44.350263,1111110,959,959
642143527,642,0,s.,s.,MAGURENI,MAGURENI,COM. MARASU,COM. MARASU,BRAILA,BRAILA,817082,0,27.919401,44.782493,1000000,906,908
642188305,642,0,s.,s.,MAGURENI,MAGURENI,COM. BERIU,COM. BERIU,HUNEDOARA,HUNEDOARA,337078,0,23.31697,45.68135,1111100,915,901
642204902,642,0,s.,s.,MAGURENI,MAGURENI,COM. SARULESTI,COM. SARULESTI,CALARASI,CALARASI,917216,0,26.623242,44.414677,1111110,926,926
642207644,642,0,s.,s.,MAGURENI,MAGURENI,COM. CERNESTI,COM. CERNESTI,MARAMURES,MARAMURES,437091,0,23.743535,47.486716,1111100,905,901
642234069,642,0,s.,s.,MAGURENI,MAGURENI,COM. MAGURENI,COM. MAGURENI,PRAHOVA,PRAHOVA,107350,0,25.75238,45.043486,1111110,924,924
642270499,642,0,s.,s.,MAGURENI,MAGURENI,COM. GUSOENI,COM. GUSOENI,VALCEA,VALCEA,247264,0,24.151902,44.700115,1111110,941,914
642158375,642,0,s.,s.,MAGURI,MAGURI,COM. MAGURI-RACATAU,COM. MAGURI-RACATAU,CLUJ,CLUJ,407366,0,23.121627,46.627936,0101000,909,909
642255378,642,0,s.,s.,MAGURI,MAGURI,MUN. LUGOJ,MUN. LUGOJ,TIMIS,TIMIS,305501,0,22.000776,45.661117,1010100,950,934
642158366,642,0,s.,s.,MAGURI-RACATAU,MAGURI-RACATAU,COM. MAGURI-RACATAU,COM. MAGURI-RACATAU,CLUJ,CLUJ,407365,0,23.19362,46.645161,0101000,909,909
642148263,642,0,s.,s.,MAGURICEA,MAGURICEA,COM. PANATAU,COM. PANATAU,BUZAU,BUZAU,127423,0,26.407246,45.288828,1111100,908,908
642108210,642,0,s.,s.,MAHACENI,MAHACENI,COM. UNIREA,COM. UNIREA,ALBA,ALBA,517791,0,23.742964,46.446686,1111100,902,901
642159559,642,0,s.,s.,MAHAL,MAHAL,COM. SANMARTIN,COM. SANMARTIN,CLUJ,CLUJ,407526,0,24.045689,46.975201,1001000,909,909
642260733,642,0,s.,s.,MAHMUDIA,MAHMUDIA,COM. MAHMUDIA,COM. MAHMUDIA,TULCEA,TULCEA,827130,0,29.087599,45.086074,1111100,945,926
642277307,642,0,s.,s.,MAHRIU,MAHRIU,COM. POIANA CRISTEI,COM. POIANA CRISTEI,VRANCEA,VRANCEA,627268,0,26.965657,45.672276,0100100,916,908
642156158,642,0,s.,s.,MAIA,MAIA,COM. BOBALNA,COM. BOBALNA,CLUJ,CLUJ,407091,0,23.724207,47.151466,1111100,909,909
642201261,642,0,s.,s.,MAIA,MAIA,COM. MAIA,COM. MAIA,IALOMITA,IALOMITA,927056,0,26.401506,44.736157,1111110,926,926
642218165,642,0,s.,s.,MAIA,MAIA,COM. BERENI,COM. BERENI,MURES,MURES,547392,0,24.848184,46.581181,1111100,933,901
642216910,642,0,s.,s.,MAIAD,MAIAD,COM. GALESTI,COM. GALESTI,MURES,MURES,547249,0,24.714854,46.519671,1111110,933,901
642179978,642,0,s.,s.,MAIAG,MAIAG,COM. CRUSET,COM. CRUSET,GORJ,GORJ,217178,0,23.622108,44.611954,1111100,943,914
642276622,642,0,s.,s.,MAICANESTI,MAICANESTI,COM. MAICANESTI,COM. MAICANESTI,VRANCEA,VRANCEA,627190,0,27.494542,45.501799,1111100,916,908
642247553,642,0,s.,s.,MAIDAN,MAIDAN,COM. CACICA,COM. CACICA,SUCEAVA,SUCEAVA,727096,0,25.823757,47.662461,1111100,931,931
642133630,642,0,s.,s.,MAIERU,MAIERU,COM. MAIERU,COM. MAIERU,BISTRITA-NASAUD,BISTRITA-NASAUD,427130,0,24.743133,47.400116,1111110,912,909
642141391,642,0,s.,s.,MAIERUS,MAIERUS,COM. MAIERUS,COM. MAIERUS,BRASOV,BRASOV,507120,0,25.540997,45.898944,1111110,907,907
642112661,642,0,s.,s.,MAILAT,MAILAT,COM. VINGA,COM. VINGA,ARAD,ARAD,317401,0,21.106529,46.044074,1111100,903,903
642204608,642,0,s.,s.,MAINEASCA,MAINEASCA,COM. PETRACHIOAIA,COM. PETRACHIOAIA,ILFOV,ILFOV,077156,1,26.350597,44.575284,1111110,926,926
642219171,642,0,s.,s.,MAIORESTI,MAIORESTI,COM. RUSII-MUNTI,COM. RUSII-MUNTI,MURES,MURES,547506,0,24.8106,46.907872,1111110,948,901
642151234,642,0,s.,s.,MAL,MAL,OR. OTELU ROSU,OR. OTELU ROSU,CARAS-SEVERIN,CARAS-SEVERIN,325702,0,22.393366,45.504663,1111110,928,934
642242649,642,0,s.,s.,MAL,MAL,COM. SAG,COM. SAG,SALAJ,SALAJ,457302,0,22.814406,47.069795,0101000,947,901
642242051,642,0,s.,s.,MALADIA,MALADIA,COM. MAERISTE,COM. MAERISTE,SALAJ,SALAJ,457239,0,22.741859,47.298623,1111100,947,901
642172720,642,0,s.,s.,MALAESTI,MALAESTI,COM. GOIESTI,COM. GOIESTI,DOLJ,DOLJ,207314,0,23.741449,44.462891,1111110,914,914
642197367,642,0,s.,s.,MALAESTI,MALAESTI,COM. GROPNITA,COM. GROPNITA,IASI,IASI,707228,0,27.306331,47.353366,0101000,918,918
642220003,642,0,s.,s.,MALAESTI,MALAESTI,COM. VALEA LARGA,COM. VALEA LARGA,MURES,MURES,547617,0,24.096749,46.627934,0101000,933,901
642231498,642,0,s.,s.,MALAESTII DE JOS,MALAESTII DE JOS,COM. DUMBRAVESTI,COM. DUMBRAVESTI,PRAHOVA,PRAHOVA,107232,0,25.997094,45.104541,1111110,924,924
642231504,642,0,s.,s.,MALAESTII DE SUS,MALAESTII DE SUS,COM. DUMBRAVESTI,COM. DUMBRAVESTI,PRAHOVA,PRAHOVA,107233,0,26.003628,45.120501,1111110,924,924
642271030,642,0,s.,s.,MALAIA,MALAIA,COM. MALAIA,COM. MALAIA,VALCEA,VALCEA,247335,0,24.044007,45.351923,1111100,927,901
642171714,642,0,s.,s.,MALAICA,MALAICA,COM. CERAT,COM. CERAT,DOLJ,DOLJ,207181,0,23.670022,44.087523,1111110,914,914
642191143,642,0,s.,s.,MALAIESTI,MALAIESTI,COM. SALASU DE SUS,COM. SALASU DE SUS,HUNEDOARA,HUNEDOARA,337422,0,22.944834,45.486668,1001000,952,901
642235084,642,0,s.,s.,MALAIESTI,MALAIESTI,COM. RAFOV,COM. RAFOV,PRAHOVA,PRAHOVA,107501,0,26.118628,44.869952,1111110,924,924
642267053,642,0,s.,s.,MALAIESTI,MALAIESTI,COM. VUTCANI,COM. VUTCANI,VASLUI,VASLUI,737621,0,27.972275,46.460808,1111100,946,904
642233465,642,0,s.,s.,MALAMUC,MALAMUC,COM. GHERGHITA,COM. GHERGHITA,PRAHOVA,PRAHOVA,107268,0,26.306638,44.795793,1111100,924,924
642244768,642,0,s.,s.,MALANCRAV,MALANCRAV,COM. LASLEA,COM. LASLEA,SIBIU,SIBIU,557117,0,24.648444,46.111153,1111100,932,901
642212986,642,0,s.,s.,MALARISCA,MALARISCA,COM. PODENI,COM. PODENI,MEHEDINTI,MEHEDINTI,227357,0,22.569891,44.886648,1111100,938,914
642261080,642,0,s.,s.,MALCOCI,MALCOCI,COM. NUFARU,COM. NUFARU,TULCEA,TULCEA,827172,0,28.888244,45.138512,1111100,945,926
642253286,642,0,s.,s.,MALDAENI,MALDAENI,COM. MALDAENI,COM. MALDAENI,TELEORMAN,TELEORMAN,147195,0,24.920558,44.126638,1111110,910,926
642215281,642,0,s.,s.,MALDAOCI,MALDAOCI,COM. ATINTIS,COM. ATINTIS,MURES,MURES,547049,0,24.037308,46.416494,1010100,933,901
